Filename,Size,timeInSec,timeInMsec
WA-CSC-OpenMP-128threads-1.csv,2048,34.41303,34413.03
WA-CSC-OpenMP-128threads-5.csv,2048,34.435120000000005,34435.12
WA-Vectorize-OpenMP-64threads-1.csv,2048,34.47763,34477.63
WA-Vectorize-OpenMP-64threads-5.csv,2048,34.69488,34694.88
WA-Vectorize-OpenMP-96threads-1.csv,2048,34.73883,34738.83
WA-Vectorize-OpenMP-64threads-3.csv,2048,34.98186,34981.86
WA-Vectorize-OpenMP-64threads-4.csv,2048,35.01867,35018.67
WA-Vectorize-OpenMP-64threads-2.csv,2048,35.25289,35252.89
WA-CSC-OpenMP-128threads-3.csv,2048,35.460800000000006,35460.80
WA-CSC-OpenMP-128threads-2.csv,2048,35.79454,35794.54
WA-Vectorize-OpenMP-96threads-5.csv,2048,36.54082,36540.82
WA-Vectorize-OpenMP-96threads-3.csv,2048,36.64074,36640.74
WA-Vectorize-OpenMP-128threads-1.csv,2048,37.60922,37609.22
WA-Vectorize-OpenMP-128threads-4.csv,2048,39.49333,39493.33
WA-Vectorize-OpenMP-128threads-3.csv,2048,42.273559999999996,42273.56
WA-Vectorize-OpenMP-128threads-5.csv,2048,43.256449999999994,43256.45
WA-Vectorize-OpenMP-128threads-2.csv,2048,43.69318,43693.18
WA-Vectorize-OpenMP-4threads.csv,2048,47.78471,47784.71
WA-Vectorize-OpenMP-16threads.csv,2048,48.20461,48204.61
WA-Vectorize-OpenMP-2threads.csv,2048,48.72516,48725.16
WA-Vectorize-OpenMP-32threads.csv,2048,50.38746,50387.46
WA-Vectorize-OpenMP-8threads.csv,2048,52.97896,52978.96
WA-Vectorize-OpenMP-64threads.csv,2048,54.689949999999996,54689.95
WA-OpenMP-Dynamic.csv,2048,62.875690000000006,62875.69
WA-CSC-OpenMP-Arm-2threads-1.csv,2048,64.2775,64277.50
WA-CSC-OpenMP-Arm-2threads-2.csv,2048,64.292,64292.00
WA-CSC-OpenMP-Arm-2threads-3.csv,2048,64.32012999999999,64320.13
WA-CSC-OpenMP-Arm-2threads-4.csv,2048,64.44333,64443.33
WA-CSC-OpenMP-Arm-4threads-1.csv,2048,64.50595,64505.95
WA-CSC-OpenMP-Arm-2threads-5.csv,2048,64.55432,64554.32
WA-CSC-OpenMP-Arm-4threads-3.csv,2048,64.56029,64560.29
WA-CSC-OpenMP-Arm-4threads-4.csv,2048,64.61337,64613.37
WA-CSC-OpenMP-Arm-4threads-2.csv,2048,64.66328,64663.28
WA-CSC-OpenMP-Arm-4threads-5.csv,2048,64.66908000000001,64669.08
WA-CSC-OpenMP-Arm-8threads-4.csv,2048,64.81866000000001,64818.66
WA-CSC-OpenMP-Arm-8threads-1.csv,2048,64.82584,64825.84
WA-CSC-OpenMP-Arm-8threads-3.csv,2048,64.92551999999999,64925.52
WA-CSC-OpenMP-Arm-8threads-5.csv,2048,65.06671,65066.71
WA-CSC-OpenMP-Arm-8threads-2.csv,2048,65.13795999999999,65137.96
WA-CSC-OpenMP-Arm-32threads-1.csv,2048,65.94796000000001,65947.96
WA-CSC-OpenMP-Arm-32threads-2.csv,2048,66.27739,66277.39
WA-CSC-NoFlags.csv,2048,66.44997000000001,66449.97
WA-CSC-OpenMP-Arm-16threads-4.csv,2048,66.46676,66466.76
WA-CSC-OpenMP-Arm-16threads-3.csv,2048,66.91645,66916.45
WA-CSC-OpenMP-Arm-32threads-4.csv,2048,66.97595,66975.95
WA-CSC-OpenMP-Arm-16threads-5.csv,2048,67.27615,67276.15
WA-CSC-OpenMP-Arm-32threads-5.csv,2048,67.30503,67305.03
WA-CSC-OpenMP-Arm-16threads-1.csv,2048,67.40697999999999,67406.98
WA-CSC-OpenMP-Arm-32threads-3.csv,2048,67.62877,67628.77
WA-CSC-OpenMP-Arm-16threads-2.csv,2048,68.20706,68207.06
WA-CSC-OpenMP-Arm-48threads-3.csv,2048,70.10806,70108.06
WA-CSC-OpenMP-Arm-48threads-2.csv,2048,70.45367999999999,70453.68
WA-CSC-OpenMP-Arm-48threads-4.csv,2048,70.69979,70699.79
WA-CSC-OpenMP-Arm-48threads-5.csv,2048,70.76329,70763.29
WA-CSC-OpenMP-Arm-48threads-1.csv,2048,71.97483,71974.83
WA-NoFlags.csv,2048,81.32658,81326.58
WA-CSC-16-check.csv,2048,,"
"
WA-AllFlags-1.csv,2048,,
WA-CSC-4-check.csv,2048,,"
"
WA-NoFlags-Arm.csv,2048,,
WA-OpenMP-128threads.csv,2048,,
