The sparse multiplication result matches the control matrix.
26.30,msec,task-clock,26297288,100.00,2.499,CPUs utilized
64,,context-switches,26297288,100.00,0.002,M/sec
16,,cpu-migrations,26297288,100.00,0.608,K/sec
173,,page-faults,26297288,100.00,0.007,M/sec
68710648,,cycles,25328037,96.21,2.613,GHz
4286843,,stalled-cycles-frontend,25359197,96.32,6.24,frontend cycles idle
56418222,,stalled-cycles-backend,20266008,76.98,82.11,backend cycles idle
32841870,,instructions,15572698,59.15,0.48,insn per cycle
,,,,,1.72,stalled cycles per insn
5854699,,branches,21044345,79.93,222.635,M/sec
59528,,branch-misses,24064305,91.41,1.02,of all branches
